City;2014;2015;2016;2017;2018;2019;2020;2021;2022
Adana;2416;2148;1810;2031;3211;3899;3951;4151;4195
Adıyaman;57;69;142;303;520;554;474;505;564
Afyonkarahisar;1027;1342;2005;2063;3036;3625;3741;4025;3736
Ağrı;198;136;163;118;149;146;111;188;219
Aksaray;1482;1865;2780;3291;4605;4839;5088;5664;5740
Amasya;347;704;1022;1005;1659;1660;1575;1462;1313
Ankara;5680;10820;15469;23569;46278;55180;50104;53669;48227
Antalya;5291;6156;7047;6334;10669;14807;14781;22470;30635
Ardahan;28;30;41;34;37;28;19;19;14
Artvin;19;37;34;30;33;35;38;36;37
Aydın;411;410;445;418;515;618;585;756;1247
Balıkesir;993;1127;1639;1801;2355;2602;2366;2433;2421
Bartın;25;24;30;39;50;70;67;92;133
Batman;634;570;536;191;320;355;272;247;193
Bayburt;89;91;75;62;130;119;122;114;111
Bilecik;428;695;1196;1088;1314;1229;1073;1045;875
Bingöl;9;40;37;25;22;30;21;29;33
Bitlis;11;17;84;20;30;36;37;28;34
Bolu;858;1239;1435;1687;2934;3716;3328;3276;2735
Burdur;357;431;467;292;620;756;751;934;859
Bursa;5021;6127;8000;5446;10100;9643;8301;10520;11946
Çanakkale;250;264;303;267;808;906;597;788;776
Çankırı;405;924;1605;1833;2183;2284;2121;2046;2066
Çorum;1181;2356;4095;5481;6005;5187;4472;3768;3010
Denizli;1177;1491;1476;1373;1910;2755;2782;3272;3143
Diyarbakır;181;167;148;77;125;158;117;161;165
Düzce;432;469;1057;1308;2109;2263;2178;2259;2280
Edirne;239;262;285;161;216;616;554;532;613
Elazığ;123;225;547;797;865;910;591;544;1375
Erzincan;393;441;1159;1216;1093;1044;1022;1087;1066
Erzurum;425;487;693;778;1119;1293;1260;1235;1195
Eskişehir;1147;2100;3170;4550;6473;8252;8085;8737;8743
Gaziantep;2598;3176;3545;2454;3122;3953;3054;3834;3029
Giresun;340;436;637;985;1182;1354;1224;1245;1162
Gümüşhane;127;144;168;134;174;216;182;199;250
Hakkari;14;15;22;54;55;71;30;51;29
Hatay;675;603;648;532;619;730;637;732;771
Iğdır;48;62;59;42;60;93;48;76;72
Isparta;833;1364;1520;1303;1755;2331;2450;2529;2425
İstanbul;19700;26700;33938;46736;71830;92286;66703;113605;118735
İzmir;2470;2684;2675;2177;2736;3637;2917;3838;4682
Kahramanmaraş;631;531;461;2720;1303;899;792;739;694
Karabük;539;1045;1460;1969;2069;1982;1818;1810;1795
Karaman;402;481;840;1008;1254;1105;1077;943;961
Kars;241;213;240;112;179;217;177;171;140
Kastamonu;724;1386;1512;1503;1806;1823;1604;1396;1256
Kayseri;1885;2330;2912;2861;5522;6641;6404;6516;6265
Kilis;102;38;55;178;264;381;376;522;449
Kırıkkale;726;1031;2341;2642;3069;3437;3500;3545;3327
Kırklareli;57;76;93;94;124;235;167;209;296
Kırşehir;537;935;1663;3823;4752;5596;5700;5595;5235
Kocaeli;707;815;896;815;1090;1687;1933;2372;2651
Konya;2923;2998;3712;3426;4655;6277;7357;8492;9031
Kütahya;951;1395;2350;3034;3421;3177;2860;2978;2771
Malatya;939;1014;1006;726;941;1120;1182;1256;1276
Manisa;519;989;1374;1826;2148;2290;2092;2460;2427
Mardin;382;230;281;455;776;576;515;614;784
Mersin;3112;2858;4522;4256;5607;7448;6699;8780;10192
Muğla;697;733;826;747;941;1103;1043;1272;2639
Muş;37;32;27;29;22;22;18;24;27
Nevşehir;649;501;941;1257;2347;2832;2991;3190;3194
Niğde;250;562;592;479;763;1016;1109;1261;1270
Ordu;221;913;1335;1902;2264;2247;2041;2156;2005
Osmaniye;98;68;74;39;50;92;78;130;160
Rize;73;95;108;107;128;199;164;184;174
Sakarya;1496;2738;4750;3987;6575;7538;7226;7618;7261
Samsun;1186;2819;4320;7094;10117;10781;8931;11208;7978
Şanlıurfa;672;490;1148;2076;2932;2690;1736;3194;2289
Siirt;125;113;107;45;43;46;43;42;49
Sinop;192;468;592;580;537;658;611;564;517
Şırnak;72;44;43;33;31;29;17;16;34
Sivas;821;963;1192;1515;1679;1900;1878;1882;1674
Tekirdağ;313;391;434;451;683;1241;1195;1330;1463
Tokat;505;760;1362;1596;1594;1571;1562;1566;1439
Trabzon;461;785;1449;1837;2501;3401;3477;3843;3796
Tunceli;5;4;4;5;5;6;8;11;11
Uşak;862;1114;1552;1811;1870;2067;1985;2021;1941
Van;447;461;529;617;873;1127;1096;1190;1105
Yalova;1070;1928;3042;3637;5374;6766;6115;8119;7016
Yozgat;693;1392;1777;2397;2777;2733;2602;2509;2214
Zonguldak;423;742;894;1224;1324;1395;1159;1068;803
